coding	meaning
0	Solid circle
1	Hollow circle
2	Vertical/horizontal cross "+"
3	Equals-sign "="
4	Rugby-post "H"
5	Solid square
6	Hollow square
7	Triangle
8	Smiley face
9	Fir-tree (3 overlapping triangles)
10	Heart
11	Diamond
12	Four squares
13	Lightning bolt
14	Top-hat
15	Linked squares
16	Diagonal cross
17	Crescent
18	Sitting cat
19	Bow tie
20	House
21	Horse-shoe "U"
22	Star
23	Person
24	Knife and fork
