coding	meaning
-3	Prefer not to answer
-1	Do not know
1	Less than 15 minutes
2	Between 15 and 30 minutes
3	Between 30 minutes and 1 hour
4	Between 1 and 1.5 hours
5	Between 1.5 and 2 hours
6	Between 2 and 3 hours
7	Over 3 hours
