coding	meaning
-7	None of the above
-3	Prefer not to answer
1	Own outright (by you or someone in your household)
2	Own with a mortgage
3	Rent - from local authority, local council, housing association
4	Rent - from private landlord or letting agency
5	Pay part rent and part mortgage (shared ownership)
6	Live in accommodation rent free
