coding	meaning
159	Butter on bread/crackers
160	Spreadable butter on bread/crackers
161	Low fat butter on bread/crackers
162	Normal fat butter on bread/crackers
163	Unknown type of butter on bread/crackers
164	Olive spread on bread/crackers
165	Very low fat olive spread on bread/crackers
166	Low fat olive spread on bread/crackers
167	Normal fat olive spread on bread/crackers
168	Cholesterol-lowering olive spread on bread/crackers
169	Unknown olive spread on bread/crackers
170	Polyunsaturated margarine on bread/crackers
171	Very low fat polyunsaturated margarine on bread/crackers
172	Low fat polyunsaturated margarine on bread/crackers
173	Normal fat polyunsaturated margarine on bread/crackers
174	Cholesterol-lowering polyunsaturated margarine on bread/crackers
175	Unknown polyunsaturated margarine on bread/crackers
176	Dairy spread on bread/crackers
177	Very low fat dairy spread on bread/crackers
178	Low fat dairy spread on bread/crackers
179	Normal fat dairy spread on bread/crackers
180	Cholesterol-lowering dairy spread on bread/crackers
181	Unknown dairy spread on bread/crackers
182	Soya margarine on bread/crackers
183	Very low fat soya margarine on bread/crackers
184	Low fat soya margarine on bread/crackers
185	Normal fat soya margarine on bread/crackers
186	Cholesterol-lowering soya margarine on bread/crackers
187	Unknown soya margarine on bread/crackers
188	Unknown margarine on bread/crackers
189	Very low fat unknown margarine on bread/crackers
190	Low fat unknown margarine on bread/crackers
191	Unknown fat unknown margarine on bread/crackers
192	Cholesterol lowering unknown margarine on bread/crackers
193	Unknown margarine on bread/crackers
194	Hard margarine on bread/crackers
195	Other type of spread on bread/crackers
