coding	meaning
10003	Stockport (pilot)
11001	Manchester
11002	Oxford
11003	Cardiff
11004	Glasgow
11005	Edinburgh
11006	Stoke
11007	Reading
11008	Bury
11009	Newcastle
11010	Leeds
11011	Bristol
11012	Barts
11013	Nottingham
11014	Sheffield
11016	Liverpool
11017	Middlesborough
11018	Hounslow
11020	Croydon
11021	Birmingham
11022	Swansea
11023	Wrexham
11024	Cheadle (revisit)
11025	Cheadle (imaging)
11026	Reading (imaging)
11027	Newcastle (imaging)
