coding	meaning
-818	Prefer not to answer
1	I was more talkative than usual
2	I was more restless than usual
3	My thoughts were racing
5	I needed less sleep than usual
6	I was more creative or had more ideas than usual
7	I was easily distracted
8	I was more confident than usual
9	I was more active than usual
