coding	meaning
-3	Prefer not to answer
-1	Do not know
2	Flora Pro-Active or Benecol
4	Soft (tub) margarine
5	Hard (block) margarine
6	Olive oil based spread (eg: Bertolli)
7	Polyunsaturated/sunflower oil based spread (eg: Flora)
8	Other low or reduced fat spread
9	Other type of spread/margarine
