coding	meaning
-3	Prefer not to answer
-1	Do not know
1	Bran cereal (e.g. All Bran, Branflakes)
2	Biscuit cereal (e.g. Weetabix)
3	Oat cereal (e.g. Ready Brek, porridge)
4	Muesli
5	Other (e.g. Cornflakes, Frosties)
