coding	meaning	node_id	parent_id	selectable
1226	Travel agency managers	1226	122	N
1231	Property, housing and land managers	1231	123	N
1232	Garage managers and proprietors	1232	123	N
1233	Hairdressing and beauty salon managers and proprietors	1233	123	N
1234	Shopkeepers and wholesale/retail dealers	1234	123	N
1235	Recycling and refuse disposal managers	1235	123	N
1239	Managers and proprietors in other services n.e.c.	1239	123	N
2111	Chemists	2111	211	N
2112	Biological scientists and biochemists	2112	211	N
2113	Physicists, geologists and meteorologists	2113	211	N
2121	Civil engineers	2121	212	N
2122	Mechanical engineers	2122	212	N
2123	Electrical engineers	2123	212	N
2124	Electronics engineers	2124	212	N
2125	Chemical engineers	2125	212	N
2126	Design and development engineers	2126	212	N
2127	Production and process engineers	2127	212	N
2128	Planning and quality control engineers	2128	212	N
2129	Engineering professionals n.e.c.	2129	212	N
2131	IT strategy and planning professionals	2131	213	N
2132	Software professionals	2132	213	N
2211	Medical practitioners	2211	221	N
2212	Psychologists	2212	221	N
2213	Pharmacists/pharmacologists	2213	221	N
2214	Ophthalmic opticians	2214	221	N
2215	Dental practitioners	2215	221	N
2216	Veterinarians	2216	221	N
2311	Higher education teaching professionals	2311	231	N
2312	Further education teaching professionals	2312	231	N
2313	Education officers, school inspectors	2313	231	N
2314	Secondary education teaching professionals	2314	231	N
2315	Primary and nursery education teaching professionals	2315	231	N
2316	Special needs education teaching professionals	2316	231	N
2317	Registrars and senior administrators of educational establishments	2317	231	N
2319	Teaching professionals n.e.c.	2319	231	N
2321	Scientific researchers	2321	232	N
2322	Social science researchers	2322	232	N
2329	Researchers n.e.c.	2329	232	N
2411	Solicitors and lawyers, judges and coroners	2411	241	N
2419	Legal professionals n.e.c.	2419	241	N
2421	Chartered and certified accountants	2421	242	N
2422	Management accountants	2422	242	N
2423	Management consultants, actuaries, economists and statisticians	2423	242	N
2431	Architects	2431	243	N
2432	Town planners	2432	243	N
2433	Quantity surveyors	2433	243	N
2434	Chartered surveyors (not quantity surveyors)	2434	243	N
2441	Public service administrative professionals	2441	244	N
2442	Social workers	2442	244	N
2443	Probation officers	2443	244	N
2444	Clergy	2444	244	N
2451	Librarians	2451	245	N
2452	Archivists and curators	2452	245	N
3111	Laboratory technicians	3111	311	N
3112	Electrical/electronics technicians	3112	311	N
3113	Engineering technicians	3113	311	N
3114	Building and civil engineering technicians	3114	311	N
3115	Quality assurance technicians	3115	311	N
3119	Science and engineering technicians n.e.c.	3119	311	N
3121	Architectural technologists and town planning technicians	3121	312	N
3122	Draughtspersons	3122	312	N
3123	Building inspectors	3123	312	N
3131	IT operations technicians	3131	313	N
3132	IT user support technicians	3132	313	N
3211	Nurses	3211	321	N
3212	Midwives	3212	321	N
3213	Paramedics	3213	321	N
3214	Medical radiographers	3214	321	N
3215	Chiropodists	3215	321	N
3216	Dispensing opticians	3216	321	N
3217	Pharmaceutical dispensers	3217	321	N
3218	Medical and dental technicians	3218	321	N
3221	Physiotherapists	3221	322	N
3222	Occupational therapists	3222	322	N
3223	Speech and language therapists	3223	322	N
3229	Therapists n.e.c.	3229	322	N
3231	Youth and community workers	3231	323	N
3232	Housing and welfare officers	3232	323	N
3311	NCOs and other ranks	3311	331	N
3312	Police officers (sergeant and below)	3312	331	N
3313	Fire service officers (leading fire officer and below)	3313	331	N
3314	Prison service officers (below principal officer)	3314	331	N
3319	Protective service associate professionals n.e.c.	3319	331	N
3411	Artists	3411	341	N
3412	Authors, writers	3412	341	N
3413	Actors, entertainers	3413	341	N
3414	Dancers and choreographers	3414	341	N
3415	Musicians	3415	341	N
3416	Arts officers, producers and directors	3416	341	N
3421	Graphic designers	3421	342	N
3422	Product, clothing and related designers	3422	342	N
3431	Journalists, newspaper and periodical editors	3431	343	N
3432	Broadcasting associate professionals	3432	343	N
3433	Public relations officers	3433	343	N
3434	Photographers and audio-visual equipment operators	3434	343	N
3441	Sports players	3441	344	N
3442	Sports coaches, instructors and officials	3442	344	N
3443	Fitness instructors	3443	344	N
3449	Sports and fitness occupations n.e.c.	3449	344	N
3511	Air traffic controllers	3511	351	N
3512	Aircraft pilots and flight engineers	3512	351	N
3513	Ship and hovercraft officers	3513	351	N
3514	Train drivers	3514	351	N
3520	Legal associate professionals	3520	352	N
3531	Estimators, valuers and assessors	3531	353	N
3532	Brokers	3532	353	N
3533	Insurance underwriters	3533	353	N
3534	Finance and investment analysts/advisers	3534	353	N
3535	Taxation experts	3535	353	N
3536	Importers, exporters	3536	353	N
3537	Financial and accounting technicians	3537	353	N
3539	Business and related associate professionals n.e.c.	3539	353	N
3541	Buyers and purchasing officers	3541	354	N
3542	Sales representatives	3542	354	N
3543	Marketing associate professionals	3543	354	N
3544	Estate agents, auctioneers	3544	354	N
3551	Conservation and environmental protection officers	3551	355	N
3552	Countryside and park rangers	3552	355	N
3561	Public service associate professionals	3561	356	N
3562	Personnel and industrial relations officers	3562	356	N
3563	Vocational and industrial trainers and instructors	3563	356	N
3564	Careers advisers and vocational guidance specialists	3564	356	N
3565	Inspectors of factories, utilities and trading standards	3565	356	N
3566	Statutory examiners	3566	356	N
3567	Occupational hygienists and safety officers (health and safety)	3567	356	N
3568	Environmental health officers	3568	356	N
4111	Civil Service executive officers	4111	411	N
