coding	meaning
-818	Prefer not to answer
0	No days with pain
1	1 day with pain
2	2 days with pain
3	3 days with pain
4	4 days with pain
5	5 days with pain
6	6 days with pain
7	7 days with pain
8	8 days with pain
9	9 days with pain
10	10 days with pain
