coding	meaning
-7	None of the above
-3	Prefer not to answer
-1	Do not know
1	Gas central heating
2	Electric storage heaters
3	Oil (kerosene) central heating
4	Portable gas or paraffin heaters
5	Solid fuel central heating
6	Open fire without central heating
