coding	meaning	node_id	parent_id	selectable
100	Africa	100	0	N
101	Algeria	101	100	Y
102	Angola	102	100	Y
103	Benin	103	100	Y
104	Botswana	104	100	Y
105	Burkina	105	100	Y
106	Burundi	106	100	Y
107	Cameroon	107	100	Y
108	Cape Verde	108	100	Y
109	Caribbean	109	100	Y
110	Central African Republic	110	100	Y
111	Comoros	111	100	Y
112	Congo	112	100	Y
113	Djibouti	113	100	Y
114	East Africa	114	100	Y
115	Egypt	115	100	Y
116	Equatorial Guinea	116	100	Y
117	Eritrea	117	100	Y
118	Ethiopia	118	100	Y
119	Gambia	119	100	Y
120	Ghana	120	100	Y
121	Guinea	121	100	Y
122	Guinea-Bissau	122	100	Y
123	Ivory Coast	123	100	Y
124	Kenya	124	100	Y
125	Lesotho	125	100	Y
126	Liberia	126	100	Y
127	Libya	127	100	Y
128	Madagascar	128	100	Y
129	Malawi	129	100	Y
130	Mauritania	130	100	Y
131	Mauritius	131	100	Y
132	Morocco	132	100	Y
133	Mozambique	133	100	Y
134	Namibia	134	100	Y
135	Niger	135	100	Y
136	Nigeria	136	100	Y
137	Rwanda	137	100	Y
138	Sao Tome and Principe	138	100	Y
139	Senegal	139	100	Y
140	Seychelles	140	100	Y
141	Sierra Leone	141	100	Y
142	Somalia	142	100	Y
143	South Africa	143	100	Y
144	Sudan	144	100	Y
145	Swaziland	145	100	Y
146	Tanzania	146	100	Y
147	Togo	147	100	Y
148	Tunisia	148	100	Y
149	Uganda	149	100	Y
150	West Africa	150	100	Y
151	Zambia	151	100	Y
152	Zimbabwe	152	100	Y
200	Asia	200	0	N
201	Afghanistan	201	200	Y
202	Bahrain	202	200	Y
203	Bangladesh	203	200	Y
204	Borneo	204	200	Y
205	British Indian Ocean Territory	205	200	Y
206	Brunei	206	200	Y
207	Myanmar (Burma)	207	200	Y
208	Cambodia	208	200	Y
209	China	209	200	Y
210	Emirates	210	200	Y
211	Hong Kong	211	200	Y
212	India	212	200	Y
213	Indonesia	213	200	Y
214	Iran	214	200	Y
215	Iraq	215	200	Y
216	Israel	216	200	Y
217	Japan	217	200	Y
