coding	meaning
-7	None of the above
-3	Prefer not to answer
1	Walking for pleasure (not as a means of transport)
2	Other exercises (eg: swimming, cycling, keep fit, bowling)
3	Strenuous sports
4	Light DIY (eg: pruning, watering the lawn)
5	Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)
