CAT-MUL40001,812,270
CAT-MUL40002compositeNull,834.3048518566296,255.09338443944526
CAT-MUL40002compositeWeak,814.1995625662094,247.5305838714074
CAT-MUL40002,818.0242509019538,274.14919938977897
CAT-MUL40006compositeNull,771.9593768098791,234.19619904212013
CAT-MUL40006compositeWeak,788.115193256199,232.53672957099548
CAT-MUL40006,781.5452860186807,258.6619458088013
CAT-MUL40011,780,250
CAT-MUL40012,790,258
CAT-MUL-PART41200-AcompositeNull,1005.8594542978637,330.82113911060003
CAT-MUL-PART41200-AcompositeWeak,992.03845389558,325.93911457797327
CAT-MUL-PART41200-A,1009.3895268018904,292.43844497368895
CAT-MUL-PART41200-BcompositeNull,1033.526314355262,315.23711651042106
CAT-MUL-PART41200-BcompositeWeak,1016.9356109366435,315.55448890422906
CAT-MUL-PART41200-B,1022.2342463528166,283.12754632674745
CAT-MUL-PART41200-CcompositeNull,982.5282653481162,302.2404852735531
CAT-MUL-PART41200-CcompositeWeak,994.5013286845704,308.8172734113766
CAT-MUL-PART41200-C,1003.3640214972856,278.9275307301641
CAT-MUL-PART41200-DcompositeNull,1065.0951009371931,328.10849896384565
CAT-MUL-PART41200-DcompositeWeak,1078.2315275179346,321.6789600720146
CAT-MUL-PART41200-D,1046.9088045926562,292.7075342265557
CAT-MUL-PART41200-EcompositeNull,993.6601813509149,190.40301555922824
CAT-MUL-PART41200-EcompositeWeak,980.3112641271571,194.75730901630993
CAT-MUL-PART41200-E,1000.6615370592739,224.04233055988126
CAT-MUL-PART41200-FcompositeNull,1018.0280806601556,191.67392627553116
CAT-MUL-PART41200-F,1017.4252397103228,228.35538637247888
CAT-MUL-PART41200-GcompositeNull,1104.2864789562982,247.07395364478361
CAT-MUL-PART41200-GcompositeWeak,1099.2153877491492,234.08364612879402
CAT-MUL-PART41200-G,1063.881473878553,247.1092711575319
CAT-MUL-PART41200-HcompositeNull,1110.717849387564,283.81581638462933
CAT-MUL-PART41200-HcompositeWeak,1110.952941862743,269.5097163390416
CAT-MUL-PART41200-H,1068.7129875851645,265.81848150576985
CAT-MUL-PART41200-JcompositeNull,1039.3107764387544,175.1250141241192
CAT-MUL-PART41200-JcompositeWeak,1028.1795298178713,170.03965570901326
CAT-MUL-PART41200-J,1027.497024556128,212.27649030418493
CAT-MUL-PART41200-KcompositeNull,1081.110214834881,206.88086729785107
CAT-MUL-PART41200-KcompositeWeak,1089.0174723013292,217.1202202426076
CAT-MUL-PART41200-K,1055.7386032074521,232.386494407376
CAT-MUL-PART41200-LcompositeNull,1043.4541431318285,331.01644328956024
CAT-MUL-PART41200-LcompositeWeak,1027.7491673097586,334.57971087129624
CAT-MUL-PART41200-L,1029.2964165144383,294.8288999875424
CAT-MUL-PART41200-McompositeNull,1067.7002729565943,190.441529133109
CAT-MUL-PART41200-McompositeWeak,1055.790204249938,181.91583207809379
CAT-MUL-PART41200-M,1043.3121721965638,219.7337322497096
CAT-MUL-PART41200-NcompositeNull,1059.4065126571995,207.0160922926537
CAT-MUL-PART41200-NcompositeWeak,1043.7338696891804,196.69895689638184
CAT-MUL-PART41200-N,1034.8202407084432,229.50485572568104
CAT-MUL-PART41200-OcompositeNull,1079.4067944236124,234.78507441050377
CAT-MUL-PART41200-O,1045.3992668042351,244.8306305036028
CAT-MUL-PART41200-PcompositeNull,1090.0531927785828,257.9912289764878
CAT-MUL-PART41200-P,1051.6182963958006,257.46454160762715
CAT-MUL-PART41200-QcompositeNull,969.5867357874936,294.69160304286595
CAT-MUL-PART41200-QcompositeWeak,962.2877783302791,282.917894834537
CAT-MUL-PART41200-Q,991.7422192958483,272.4243839597627
CAT-MUL-PART41200-RcompositeNull,1012.1713134450124,171.80433595347858
CAT-MUL-PART41200-RcompositeWeak,1000.1542439042398,174.5856402503634
CAT-MUL-PART41200-R,1011.8157630996299,212.9713825291594
CAT-MUL-PART41200-ScompositeNull,957.5236456327208,225.60805175180468
CAT-MUL-PART41200-ScompositeWeak,953.1870445066718,240.49115335461482
CAT-MUL-PART41200-S,986.4420253712964,245.01021650429558
CAT-MUL-PART41200-TcompositeNull,1091.3120234491157,277.6771870076301
CAT-MUL-PART41200-TcompositeWeak,1088.2138254158303,290.9678063233024
CAT-MUL-PART41200-T,1054.1553484010524,270.8524073649792
CAT-MUL-PART41200-UcompositeNull,1072.3500139981415,302.80482849876176
CAT-MUL-PART41200-UcompositeWeak,1057.948087794282,310.83570663678125
CAT-MUL-PART41200-U,1041.1773413964047,280.2263112285481
CAT-MUL-PART41200-VcompositeNull,961.6975024160666,254.64668367007692
CAT-MUL-PART41200-VcompositeWeak,959.0471484678403,267.22738918761115
CAT-MUL-PART41200-V,991.029881138677,258.74914680622487
CAT-MUL-PART41200-WcompositeNull,972.4460300383068,224.99071692648232
CAT-MUL-PART41200-WcompositeWeak,980.8865681683039,211.77139575091124
CAT-MUL-PART41200-W,998.660539158639,238.5245075434628
CAT-MUL-PART41200-XcompositeNull,1095.1833213228706,311.96935004386785
CAT-MUL-PART41200-XcompositeWeak,1104.7494924537311,303.29286106333814
CAT-MUL-PART41200-X,1061.8785483294428,283.1207511719115
CAT-MUL41200,1021.9281386491908,255.32949088241685
CAT-MUL-PART41210-AcompositeNull,808.0050680430342,74.82496578412272
CAT-MUL-PART41210-AcompositeWeak,818.4059340504541,68.21674338635215
CAT-MUL-PART41210-A,844.2593273403995,106.44452327814554
CAT-MUL-PART41210-BcompositeNull,934.8200048031842,120.48406840077446
CAT-MUL-PART41210-BcompositeWeak,939.0238201170729,135.35401042180368
